Al_scaffold_0001_2747	C000001
Al_scaffold_0002_315	C000001
Al_scaffold_0003_1822	C000001
Al_scaffold_0003_1854	C000001
Al_scaffold_0004_1146	C000001
fgenesh1_pg.C_scaffold_3001491	C000001
fgenesh1_pg.C_scaffold_3001945	C000001
fgenesh1_pg.C_scaffold_3002386	C000001
fgenesh1_pg.C_scaffold_3002461	C000001
fgenesh1_pg.C_scaffold_7000571	C000001
fgenesh1_pg.C_scaffold_8001135	C000001
fgenesh1_pm.C_scaffold_2000645	C000001
fgenesh1_pm.C_scaffold_3001772	C000001
fgenesh2_kg.3__1843__AT3G16740.1	C000001
fgenesh2_kg.3__1917__AT3G17400.1	C000001
fgenesh2_kg.3__1959__AT3G19470.1	C000001
fgenesh2_kg.3__2296__AT3G20700.1	C000001
fgenesh2_kg.3__2458__AT3G22421.1	C000001
fgenesh2_kg.3__3382__AT2G17830.1	C000001
fgenesh2_kg.3__3441__AT2G18320.1	C000001
fgenesh2_kg.3__3553__AT2G18780.1	C000001
scaffold_102521.1	C000001
scaffold_102930.1	C000001
scaffold_104355.1	C000001
scaffold_200760.1	C000001
scaffold_301576.1	C000001
scaffold_301577.1	C000001
scaffold_301579.1	C000001
scaffold_301600.1	C000001
scaffold_301604.1	C000001
scaffold_301606.1	C000001
scaffold_301973.1	C000001
scaffold_302309.1	C000001
scaffold_302348.1	C000001
scaffold_302868.1	C000001
scaffold_303016.1	C000001
scaffold_501511.1	C000001
scaffold_702924.1	C000001
Al_scaffold_0002_1159	C000001
Al_scaffold_0003_2452	C000001
fgenesh1_pg.C_scaffold_4001964	C000001
fgenesh1_pg.C_scaffold_6002737	C000001
scaffold_201297.1	C000001
scaffold_201304.1	C000001
scaffold_301975.1	C000001
scaffold_302475.1	C000001
scaffold_402570.1	C000001
scaffold_402571.1	C000001
scaffold_703799.1	C000001
Al_scaffold_0003_2064	C000001
Al_scaffold_0003_2216	C000001
Al_scaffold_0003_2218	C000001
fgenesh1_pg.C_scaffold_3001671	C000001
fgenesh1_pg.C_scaffold_3002396	C000001
fgenesh1_pm.C_scaffold_1002986	C000001
fgenesh1_pm.C_scaffold_1003077	C000001
fgenesh1_pm.C_scaffold_6002905	C000001
fgenesh2_kg.8__981__AT5G51000.1	C000001
scaffold_200815.1	C000001
scaffold_301972.1	C000001
scaffold_301974.1	C000001
scaffold_302310.1	C000001
scaffold_302828.1	C000001
Al_scaffold_0003_2563	C000001
Al_scaffold_0003_2935	C000001
fgenesh1_pm.C_scaffold_3001462	C000001
fgenesh2_kg.3__386__AT3G04250.1	C000001
fgenesh1_pg.C_scaffold_3000343	C000001
fgenesh1_pg.C_scaffold_3001583	C000001
fgenesh1_pm.C_scaffold_3001469	C000001
Al_scaffold_0001_5097	C000002
Al_scaffold_0004_1504	C000002
fgenesh2_kg.1__775__AT1G07870.1	C000002
fgenesh2_kg.3__2279__AT3G20530.1	C000002
fgenesh2_kg.4__2345__AT2G41970.1	C000002
fgenesh2_kg.6__142__AT5G02290.2	C000002
Al_scaffold_0002_1946	C000002
fgenesh1_pg.C_scaffold_7002720	C000002
fgenesh1_pm.C_scaffold_3002203	C000002
fgenesh1_pm.C_scaffold_8001295	C000002
fgenesh2_kg.2__1239__AT1G69790.1	C000002
fgenesh2_kg.2__1919__AT1G76360.1	C000002
fgenesh2_kg.2__298__AT1G61590.1	C000002
fgenesh2_kg.4__1990__AT2G39110.1	C000002
fgenesh2_kg.4__548__AT2G26290.1	C000002
fgenesh2_kg.4__870__AT2G28930.1	C000002
fgenesh2_kg.5__178__AT2G02800.1	C000002
fgenesh2_kg.5__1964__AT3G55450.1	C000002
fgenesh2_kg.5__474__AT3G26940.1	C000002
fgenesh2_kg.6__2__AT5G01020.1	C000002
fgenesh2_kg.8__89__AT5G47070.1	C000002
scaffold_303359.1	C000002
scaffold_500843.1	C000002
scaffold_600256.1	C000002
Al_scaffold_0002_2085	C000002
fgenesh2_kg.1__1817__AT1G16670.1	C000002
fgenesh2_kg.1__2253__AT1G20650.1	C000002
fgenesh2_kg.2__1335__AT1G70740.1	C000002
scaffold_301012.1	C000002
Al_scaffold_0002_2338	C000002
Al_scaffold_0004_1273	C000002
Al_scaffold_0007_2433	C000002
fgenesh1_pg.C_scaffold_3000662	C000002
fgenesh1_pm.C_scaffold_2001422	C000002
fgenesh2_kg.1__1562__AT1G14370.1	C000002
fgenesh2_kg.1__2656__AT1G26970.1	C000002
fgenesh2_kg.1__738__AT1G07570.2	C000002
fgenesh2_kg.2__2147__AT1G78530.1	C000002
fgenesh2_kg.2__274__AT1G61860.1	C000002
fgenesh2_kg.3__1008__AT3G09830.1	C000002
fgenesh2_kg.3__1918__AT3G17410.1	C000002
fgenesh2_kg.3__3306__AT2G17220.1	C000002
fgenesh2_kg.4__2046__AT2G39660.1	C000002
fgenesh2_kg.4__2489__AT2G43230.1	C000002
fgenesh2_kg.4__2942__AT2G47060.2	C000002
fgenesh2_kg.4__439__AT2G25220.1	C000002
fgenesh2_kg.5__2314__AT3G58690.1	C000002
fgenesh2_kg.5__2392__AT3G59350.1	C000002
fgenesh2_kg.6__190__AT5G02800.1	C000002
fgenesh2_kg.7__519__AT4G35600.1	C000002
scaffold_100666.1	C000002
scaffold_201930.1	C000002
scaffold_401569.1	C000002
scaffold_601325.1	C000002
fgenesh1_pm.C_scaffold_5002201	C000002
fgenesh2_kg.3__2934__AT2G07180.1	C000002
fgenesh2_kg.4__871__AT2G28940.2	C000002
fgenesh1_pg.C_scaffold_1003971	C000002
fgenesh2_kg.3__1746__AT3G15890.1	C000002
fgenesh1_pm.C_scaffold_6000857	C000002
fgenesh2_kg.7__968__AT4G32000.1	C000002
scaffold_601534.1	C000002
fgenesh2_kg.1__2617__AT1G24030.2	C000002
fgenesh2_kg.5__434__AT3G26700.1	C000002
scaffold_800930.1	C000002
fgenesh2_kg.2__2312__AT1G80640.1	C000002
scaffold_300101.1	C000002
fgenesh2_kg.5__1037__AT3G46760.1	C000002
Al_scaffold_0001_4306	C000003
Al_scaffold_0001_457	C000003
Al_scaffold_0004_2765	C000003
Al_scaffold_0005_1968	C000003
Al_scaffold_0007_683	C000003
fgenesh1_pg.C_scaffold_4002022	C000003
fgenesh1_pg.C_scaffold_7001358	C000003
fgenesh1_pm.C_scaffold_1001233	C000003
fgenesh1_pm.C_scaffold_2001655	C000003
fgenesh1_pm.C_scaffold_4001594	C000003
fgenesh1_pm.C_scaffold_5000600	C000003
fgenesh1_pm.C_scaffold_6001195	C000003
fgenesh1_pm.C_scaffold_6002192	C000003
fgenesh1_pm.C_scaffold_6002329	C000003
fgenesh1_pm.C_scaffold_7001305	C000003
fgenesh2_kg.1__3283__AT1G30870.1	C000003
fgenesh2_kg.1__476__AT1G05240.1	C000003
fgenesh2_kg.1__477__AT1G05260.1	C000003
fgenesh2_kg.2__1142__AT1G68850.1	C000003
fgenesh2_kg.3__313__AT3G03670.1	C000003
fgenesh2_kg.3__3420__AT2G18150.1	C000003
fgenesh2_kg.4__163__AT2G22420.1	C000003
fgenesh2_kg.5__1254__AT3G49110.1	C000003
fgenesh2_kg.5__1256__AT3G49120.1	C000003
fgenesh2_kg.6__1782__AT5G17820.1	C000003
fgenesh2_kg.6__2906__AT4G08770.1	C000003
fgenesh2_kg.6__2909__AT4G08780.1	C000003
fgenesh2_kg.6__618__AT5G06720.1	C000003
fgenesh2_kg.7__3464__AT5G39580.1	C000003
fgenesh2_kg.8__1071__AT5G51890.1	C000003
fgenesh2_kg.8__2424__AT5G64120.1	C000003
scaffold_100501.1	C000003
scaffold_101631.1	C000003
scaffold_104220.1	C000003
scaffold_202081.1	C000003
scaffold_300112.1	C000003
scaffold_302598.1	C000003
scaffold_304315.1	C000003
scaffold_600501.1	C000003
scaffold_601546.1	C000003
scaffold_602084.1	C000003
scaffold_603524.1	C000003
scaffold_700821.1	C000003
scaffold_702870.1	C000003
scaffold_800990.1	C000003
scaffold_803114.1	C000003
scaffold_803115.1	C000003
Al_scaffold_0005_1843	C000003
Al_scaffold_0006_1313	C000003
Al_scaffold_0007_1091	C000003
fgenesh1_pm.C_scaffold_2001658	C000003
fgenesh2_kg.7__300__AT4G37520.1	C000003
